Date,Close,Volume
2021-07-13,42.75,20806860
2021-07-14,42.5,19415640
2021-07-15,43.349998,22522100
2021-07-16,44.400002,16523600
2021-07-19,45.5,26722740
2021-07-20,43.950001,18492620
2021-07-21,42.900002,11378540
2021-07-22,42,12374460
2021-07-23,40.599998,17166880
2021-07-26,40.5,11763100
2021-07-27,41.799999,25171220
2021-07-28,41.299999,20900140
2021-07-29,41.049999,12881120
2021-07-30,41.700001,16011720
2021-08-02,41.700001,14403440
2021-08-03,40.950001,16433640
2021-08-04,40.75,13964140
2021-08-05,40,10873200
2021-08-06,40.5,13455020
2021-08-09,40.349998,13308200
2021-08-10,40.950001,15646460
2021-08-11,41.099998,15650640
2021-08-12,40.650002,11436640
2021-08-13,40.25,9183020
2021-08-16,40.200001,18359320
2021-08-17,41.299999,29069600
2021-08-18,42.5,23274980
2021-08-19,41.799999,26349080
2021-08-20,40.5,18040680
2021-08-23,38.700001,18303620
2021-08-24,38.349998,12097600
2021-08-25,38.299999,12416680
2021-08-26,38.950001,19276620
2021-08-27,37.849998,14820580
2021-08-30,36.5,16148760
2021-08-31,36.599998,15608560
2021-09-01,36.450001,15694540
2021-09-02,36.549999,17130300
2021-09-03,36.150002,14257380
2021-09-07,35.950001,13098800
2021-09-08,36.400002,17511000
2021-09-09,36.75,18187780
2021-09-10,37.650002,19451040
2021-09-13,37.700001,27046660
2021-09-14,38,22410400
2021-09-15,37.099998,17835760
2021-09-16,37.099998,16620040
2021-09-17,38.400002,23236180
2021-09-20,40.75,31928620
2021-09-21,40.650002,23306720
2021-09-22,39.450001,22317280
2021-09-23,38.349998,17094560
2021-09-24,38.200001,14512820
2021-09-27,39.150002,16286900
2021-09-28,42.450001,32067800
2021-09-29,42.700001,24710700
2021-09-30,43.150002,27569980
2021-10-01,42.349998,22821740
2021-10-04,45,27331040
2021-10-05,43.150002,23426780
2021-10-06,42.349998,29171480
2021-10-07,41.150002,20801860
2021-10-08,41.849998,17889540
2021-10-11,42.75,20881060
2021-10-12,43.150002,21187600
2021-10-13,42.150002,17903160
2021-10-14,39.799999,18135480
2021-10-15,39.049999,12499800
2021-10-18,37.849998,14886400
2021-10-19,37.099998,14069620
2021-10-20,37.150002,14840900
2021-10-21,36.5,13353480
2021-10-22,37.400002,18613840
2021-10-25,36.25,16545600
2021-10-26,35.950001,26144640
2021-10-27,35.650002,22676240
2021-10-28,34.5,19751400
2021-10-29,33.950001,20445160
2021-11-01,33.650002,18452420
2021-11-02,33.150002,15720560
2021-11-03,32.099998,24108720
2021-11-04,30.950001,29744280
2021-11-05,30.85,29734660
2021-11-08,30.950001,20147940
2021-11-09,31.549999,32200500
2021-11-10,33,40697560
2021-11-11,32.650002,19150060
2021-11-12,31.6,23090920
2021-11-15,31.65,25391440
2021-11-16,30.950001,18744800
2021-11-17,30.950001,18893140
2021-11-18,29.950001,28468960
2021-11-19,29.450001,24611960
2021-11-22,30.549999,31609760
2021-11-23,30.950001,41171100
2021-11-24,30.6,28824500
2021-11-26,32.299999,29252500
2021-11-29,30.25,29241420
2021-11-30,31.549999,38594520
2021-12-01,33.25,41415140
2021-12-02,32.450001,49500560
2021-12-03,34.099998,51272520
2021-12-06,33.299999,35097340
2021-12-07,30.25,39291380
2021-12-08,29.9,33606140
2021-12-09,31.15,39501420
2021-12-10,30.15,38785620
2021-12-13,31.5,32230120
2021-12-14,32.450001,36644500
2021-12-15,30.299999,48257400
2021-12-16,32.5,45651560
2021-12-17,33,41172880
2021-12-20,34,38089880
2021-12-21,31.700001,32029380
2021-12-22,30.6,26145280
2021-12-23,29.9,23992620
2021-12-27,28.450001,20346000
2021-12-28,28.75,25022360
2021-12-29,28.799999,25201460
2021-12-30,29.049999,15244660
2021-12-31,29.700001,18661100
2022-01-03,28.700001,26543320
2022-01-04,29.85,37784700
2022-01-05,32.650002,47123580
2022-01-06,32.700001,42441520
2022-01-07,33.700001,45460320
2022-01-10,33.549999,54391020
2022-01-11,32.150002,49526740
2022-01-12,31.700001,46802620
2022-01-13,34.060001,61575300
2022-01-14,33.5,63260600
2022-01-18,35.900002,57141200
2022-01-19,37.150002,53574300
2022-01-20,38.610001,62269100
2022-01-21,41.790001,92219600
2022-01-24,41.27,125056600
2022-01-25,44.080002,93102000
2022-01-26,44.150002,103445200
2022-01-27,45.599998,81043500
2022-01-28,41.32,80395100
2022-01-31,37.380001,66235200
2022-02-01,36.580002,57520200
2022-02-02,35.709999,77874200
2022-02-03,39.959999,77371600
2022-02-04,38.549999,78288600
2022-02-07,39.360001,55223300
2022-02-08,38.080002,68665200
2022-02-09,35.66,63969800
2022-02-10,38.029999,122311700
2022-02-11,41.619999,117986400
2022-02-14,41.52,110240100
2022-02-15,38.450001,81431800
2022-02-16,38.48,80272500
2022-02-17,41.889999,78147400
2022-02-18,43.290001,117893400
2022-02-22,44.599998,112824300
2022-02-23,48.009998,105118500
2022-02-24,43.32,148350500
2022-02-25,41.169998,85345700
2022-02-28,40.73,112716700
2022-03-01,42.650002,113057500
2022-03-02,40.580002,81972200
2022-03-03,42.27,89501400
2022-03-04,44.110001,96438400
2022-03-07,49.009998,101086600
2022-03-08,49.669998,132516200
2022-03-09,44.360001,88420700
2022-03-10,45.77,80071000
2022-03-11,48.540001,74227300
2022-03-14,51.389999,82609100
2022-03-15,46.639999,90186400
2022-03-16,41.380001,114095200
2022-03-17,39.919998,73438700
2022-03-18,37.490002,99293100
2022-03-21,37.740002,103676800
2022-03-22,35.529999,85809900
2022-03-23,37.029999,100273700
2022-03-24,34.59,82548600
2022-03-25,34.650002,96614300
2022-03-28,33.060001,79927900
2022-03-29,31.370001,88274800
2022-03-30,32.32,87468800
2022-03-31,33.669998,85437900
2022-04-01,33.779999,90230100
2022-04-04,31.709999,57950800
2022-04-05,33.77,80040400
2022-04-06,35.98,122475800
2022-04-07,35.740002,102513500
2022-04-08,37.200001,86242100
2022-04-11,39.84,84370600
2022-04-12,40.389999,110349200
2022-04-13,37.959999,79275700
2022-04-14,40.540001,81346000
2022-04-18,40.380001,87720900
2022-04-19,37.77,74698700
2022-04-20,39.439999,89420400
2022-04-21,41.799999,115767300
2022-04-22,45.139999,123520900
2022-04-25,43.380001,135532900
2022-04-26,48.200001,126930400
2022-04-27,48.459999,145748500
2022-04-28,43.349998,143093500
2022-04-29,49.029999,125386700
2022-05-02,46.639999,160719500
2022-05-03,46.529999,119154300
2022-05-04,41.790001,164507800
2022-05-05,47.950001,175236700
2022-05-06,49.810001,200645100
2022-05-09,55.610001,165115800
2022-05-10,53.650002,188946300
2022-05-11,58.43,174538300
2022-05-12,58.759998,175686300
2022-05-13,52.439999,126441200
2022-05-16,54.049999,110100300
2022-05-17,49.950001,119601400
2022-05-18,57.209999,130385400
2022-05-19,58.259998,160100000
2022-05-20,58.73,171717700
2022-05-23,55.810001,110904800
2022-05-24,59.34,138480300
2022-05-25,56.900002,109383100
2022-05-26,52.16,99084900
2022-05-27,47.009998,97902900
2022-05-31,47.310001,122783200
2022-06-01,48.5,125293600
2022-06-02,44.5,110786800
2022-06-03,47.959999,124860200
2022-06-06,47.450001,99605400
2022-06-07,46.25,96093900
2022-06-08,47.200001,76082800
2022-06-09,51.029999,111875400
2022-06-10,56.52,138826600
2022-06-13,64.209999,155730000
2022-06-14,63.830002,120578700
2022-06-15,59.169998,142022600
2022-06-16,66.089996,130106000
2022-06-17,63.959999,122881600
2022-06-21,59.18,81902800
2022-06-22,59.389999,101489000
2022-06-23,56.849998,100782900
2022-06-24,51.009998,86700900
2022-06-27,52,84310800
2022-06-28,56.77,117353400
2022-06-29,56.650002,111875200
2022-06-30,58.84,140931900
2022-07-01,57.619999,105186100
2022-07-05,54.66,112291900
2022-07-06,53.650002,91858400
2022-07-07,50.279999,79036400
2022-07-08,50.040001,101786400
2022-07-11,53.240002,88960400
2022-07-12,54.779999,103216600
2022-07-13,55.119999,137095000
2022-07-14,54.529999,114668500
2022-07-15,51.639999,99413200
2022-07-18,52.889999,110211500
2022-07-19,48.150002,101230700
2022-07-20,45.759998,119160600
2022-07-21,43.799999,119480400
2022-07-22,46.080002,121407500
2022-07-25,46.830002,94542100
2022-07-26,49.619999,91591000
2022-07-27,43.470001,129089900
2022-07-28,42.130001,112565100
2022-07-29,39.830002,118319300
2022-08-01,39.889999,125391800
2022-08-02,40.279999,143998200
2022-08-03,37.060001,124328800
2022-08-04,36.5,118869400
2022-08-05,37.380001,136673400
2022-08-08,37.75,120920100
2022-08-09,39.02,110898900
2022-08-10,35.830002,108960700
2022-08-11,36.34,123480100
2022-08-12,34.290001,90520200
2022-08-15,33.450001,88926600
2022-08-16,33.689999,108929700
2022-08-17,34.880001,127273300
2022-08-18,34.639999,90234200
2022-08-19,36.66,107340500
2022-08-22,39.540001,105490700
2022-08-23,39.68,103893500
2022-08-24,39.34,80403000
2022-08-25,37.299999,86610300
2022-08-26,41.860001,166378500
2022-08-29,43.119999,133071000
2022-08-30,44.529999,155960200
2022-08-31,45.389999,135657700
2022-09-01,45.32,166970000
2022-09-02,47.23,177677400
2022-09-06,48.290001,147168100
2022-09-07,45.419998,122115100
2022-09-08,44.689999,151807400
2022-09-09,41.84,135954500
2022-09-12,40.310001,119586400
2022-09-13,46.959999,180723900
2022-09-14,45.84,145586500
2022-09-15,48.139999,166258500
2022-09-16,49.119999,176984200
2022-09-19,47.919998,121245600
2022-09-20,49.080002,119153500
2022-09-21,51.779999,180706000
2022-09-22,53.68,151907900
2022-09-23,56.259998,173780700
2022-09-26,56.970001,163155400
2022-09-27,56.93,150329200
2022-09-28,53.68,135373000
2022-09-29,58.150002,161040500
2022-09-30,61.32,159115700
2022-10-03,56.970001,126306100
2022-10-04,51.66,137960700
2022-10-05,51.610001,138424200
2022-10-06,52.970001,134207100
2022-10-07,59.07,155355400
2022-10-10,60.93,141755800
2022-10-11,63.200001,157347100
2022-10-12,63.349998,128608100
2022-10-13,59.110001,225667800
2022-10-14,64.379997,169766500
2022-10-17,58,140391500
2022-10-18,56.59,165182200
2022-10-19,57.16,144625400
2022-10-20,58.189999,146161900
2022-10-21,54.080002,166360300
2022-10-24,52.240002,146097500
2022-10-25,49.110001,120883500
2022-10-26,52.32,161657800
2022-10-27,55.200001,136961600
2022-10-28,50.18,147364100
2022-10-31,51.900002,115468100
2022-11-01,53.490002,118816500
2022-11-02,59.040001,192640900
2022-11-03,62.450001,139440200
2022-11-04,59.549999,173145300
2022-11-07,57.66,97900700
2022-11-08,56.400002,124572300
2022-11-09,60.369999,123050800
2022-11-10,47.080002,181317400
2022-11-11,44.369999,139910300
2022-11-14,45.52,126849800
2022-11-15,43.669998,186506000
2022-11-16,45.450001,129948700
2022-11-17,45.790001,132851800
2022-11-18,45.830002,111228200
2022-11-21,47.240002,98061300
2022-11-22,45.32,80033700
2022-11-23,43.939999,99917300
2022-11-25,44.830002,37295200
2022-11-28,46.830002,84858800
2022-11-29,47.919998,93854000
2022-11-30,41.380001,150799900
2022-12-01,41.25,93316600
2022-12-02,41.790001,120899600
2022-12-05,43.849998,95946400
2022-12-06,46.580002,108083200
2022-12-07,47.240002,132229200
2022-12-08,45.599998,111469400
2022-12-09,46.490002,123629800
2022-12-12,44.77,89012400
2022-12-13,43.34,179555300
2022-12-14,44.43,157128300
2022-12-15,48.779999,133146900
2022-12-16,50.240002,118182400
2022-12-19,52.310001,101025700
2022-12-20,52.529999,97685400
2022-12-21,50.299999,93821800
2022-12-22,53.75,114983100
2022-12-23,53.5,109199700
